NO,dialogue,MITI_code,target
Co1 ,OK、エイデン(息子の名前）へ抗生物質の処方菱を書きました。中耳炎に効果があるでしょう。しかしカルテを見ると，彼はこの1年の問に6回から7回も繰り返しているようですね。とても大きな問題だと思います。,0,禁煙
Cl1 ,ええ，私たちにとってすごくストレスなんです。息子もすごく悩んでいて。,0,
Co2 ,子どもに多発する耳感染の主なリスクファクターのひとつには，タバコの煙にさらされることがあげられます。タバコを吸いますか？,4,
Cl2 ,ええ，吸います。でも彼の周りで吸いません。彼の周りでは吸わないように気をつけています｡,0,
Co3,いいですか，息子さんがこのように何度も中耳炎に躍っていることを見れば，私にはすぐタバコの煙のせいだと想像がつきます。そのことについてどう説明しますか？,3,
Cl3,わ，わかりません。私が言いたいのは，息子の周りでは吸わないように気をつけているということです。車の中では吸いませんし，息子が家にいるときは外に吸いに行きます。とにかく私にたばこが悪いということは分かっているし，息子にとっても悪いことだと分かっているからタバコの周りにいないでほしいと言っているし，本当に気をつけています。,8,
Co4,エイデンのためにもあなたの健康のためにもタバコをやめたほうがいいと思います。子どもの周りでタバコを吸うことが影響するのは耳の感染症だけではないのは知っていましたか？,4,
Cl4,うん,7,
Co5,はっきりいうと，このままだったらすぐにでも彼の耳に鼓膜チュ－ブを入れなければならないんです。またP ビタミンC欠乏や虫歯，行動上の問題，ぜんそく，呼吸器感染…本当に多くのリスクを彼に負わせることになるんです。それに加え，喫煙者の子どもは，彼ら自身も喫煙者になりがちです。彼を喫煙者に育てたいのですか？,4,
Cl5,もう、私は吸っていないって・・・いえ，私，私，私やめようとしてきたけれど，でもすごく難しくてどうやっていいか分からないんです。,8,
Co6,今がやめるときです。吸い続けることはできません。彼のためだけでなくあなたのためにも言います。肺がんや肺気腫，口腔がん，心疾患などのりスクも増えるんですよ。,0,
Cl6,わかっています。わかっています。聞いたことがあるし，以前人に言われたこともあります。全部聞きました。ただどうやっていいかわからないんです。どうやって禁煙したらいいの？すごく難しい。,8,
Co7,そうね，今までのような苦労をしなくてもあなたが利用できるものがあります｡ニコチン代用品、パッチや，トローチ，ガム，吸入器，スプレー式点鼻薬など。チヤンテイックスやZyban(経口禁煙薬）にトライするのであれば，薬物治療について話をすることができます。禁煙グループへの参加もできますし，電話相談窓口もありますし…。,0,
Cl7,とにかくそれをする時間がない…,8,
Co8,やめられないという言い訳をしないこと！非常に大事なことなんですから｡,0,
Cl8,わかってます。知っているんです。何ひとつ問題のない人なんていないでしよ？本当に，それは本当に難しいことなんです。,8,
Co9,では，あなたのお子さんの健康以上に大事なものはなんですか？,4,
Cl9,わかりません。,0,
Co10,あなたが私に禁煙しますといってくれることをまってます。ホントに大事なことです。,0,
Cl10,そうね，それを全部見てみます。何かできるようなことを見つけて頑張ってみます。それで私の主治医に話をしてみます。,7,
Co11,OK，私はあなたが本当にこのことを真剣に考える必要があると思いますよ。申し上げたように，あなた自身とあなたのお子さんを危険にさらしているのですから。,0,
Cl11,わかりました。とにかくわかりました。,0,
Co12,O K,0,
