NO,dialogue,MITI_code,target
Co1 ,今日は何かお困りのことが。,3,債務整理と貯金
Cl1 ,お金を貯めたいと思うんですけどもたまらずに逆にマイナスばっかりです。,0,
Co2 ,お金を貯めたいと思ってるんだけれど何かマイナス、つい使いすぎてマイナス。,1,
Cl2 ,使い過ぎたり、出費が多くてマイナスですね。,0,
Co3 ,毎月。,1,
Cl3 ,毎月。,0,
Co4 ,じゃあ今、お金を貯めて何かやりたい事があるとそんな感じですか？,3,
Cl4 ,お金を貯めて何かやりたいというわけではないんですけど、日々の生活が厳しくて、追われてお付き合いのお金とか,0,
Co5 ,あ?、お付き合いのお金。,1,
Cl5 ,付き合いの方が多くて厳しくてやっぱりついつい簡単にカードローンとかしてます。,0,
Co6 ,お金が貯まらない原因は今はカードローンかなーって思ってらっしゃるんですね。,1,
Cl6 ,そうですね。出て行くお金を抑えきれなくて、どんどんどんどん借りてばっかりいます 。,0,
Co7 ,そうか?、このままでは破産しちゃいそうかな?と心配になるのですね。,2,
Cl7 ,そうですね。あのー債務整理も勧められてるんですけどもまだそこはためらっていてそれでお金また借りれるとこないかなと思っています。,0,
Co8 ,お金を借りる所を探してこれ以上使わない方が良いと思うけれども探してしまっている状況。,1,
Cl8 ,はい。,0,
Co9 ,このままだったらどんな風になると考えていらっしゃいますか？,3,
Cl9 ,自己破産すると思うんですけど、そうですね家族の協力も得られないので私一人だけ悩んでる感じ。,0,
Co10 ,じゃあ、このことについてもしかしたら誰かと相談をしてなんかもうちょっと気持ちの整理をつけたいかなとかなんかそういう感じを思ってらっしゃる。,2,
Cl10 ,相談をしたいなと思ってるんですけど協力的ではないので 。,0,
Co11 ,あー、そうかそうか。じゃあ今は相談もできなくて一人で悩んでて今日ちょっと話をしようかなと思ったと。,2,
Cl11 ,あーそうです、そうです。 ,0,
Co12 ,じゃあ今はまずはこのお金の事、この債務整理のコツとか専門家と話をしたいと思ってらっしゃる。,2,
Cl12 ,そうですね債務整理、過去にもやったことあるんですが、あまり役に立たなかったと言うか、父が一度自己破産をしてブラックなんですけどまた闇金に手を出してしまってそれをまたカバーするためにお金を借りたいと思ってるので、あまり法律家は相談したくないと思ってます。,0,
Co13 ,法律家には相談したくない。,1,
Cl13 ,やっても無駄だなーと。,0,
Co14 ,前にそうゆうことがあってそん時やったけど、結局同じことがまた起こっていると。じゃあ、このお金のことについてはこのTさんご自身だけの問題ではなく家族の問題も含んでると。,1,
Cl14 ,そうですね。,0,
Co15 ,お父さんさんがお金を際限なく借りてしまうとか、使ってしまうとかそういうことが。,2,
Cl15 ,そうですね、私よりも父の方が湯水の様に、足りなければまた借りればいいと借りてしまって、また結局闇金に手を出して、トータル140万、あるのでこれをこれの返済が月々10万以上あるので、やっぱり生活が厳しいので、エアコンも壊れたし、熱中症になってるし、なのでまたどっかからこのお金を借りたいなエアコン代だけでも借りたいなと思ってきたんですけど。 ,8,
Co16 ,じゃあ今一番困っていることは、この暑さをしのぐためにエアコンが必要だなと思っていること。その一方でこの金を貸してくれるところがもうない。,2,
Cl16 ,もうないです。あのエアコンを買うために電化製品家電屋さんの審査通したんですけど通らなかったんです。なので困っています。,0,
Co17 ,日々の生活にもうそろそろ困るかもしれないと思ってらっしゃって。。そうかー、Tさんとしてはお金を借りるところがなくて困っている一方で、何か例えば生活を少しこうしたらいいかなとか,1,
Co17 ,何か考えていることとか、何かありますか？,4,
Cl17 ,とりあえず、次の年金が 来月13日に入るのでそれまで繋げれば生活を、後父の給料が8日なので、その日まで乗り切れば。,0,
Co18 ,後数日まずは乗り切れればと。,1,
Cl18 ,エアコン買ったり支払いにまた考えたいなと思ってるんですけど。,0,
Co19 ,支払いが終わった後の事とかは、どーしよかなぁとか？,3,
Cl19 ,もう一回お金の使い分けを、また父母と一緒にできるんであれば考えていきたいなと思ってます。,7,
Co20 ,お金の使い方、割り振り、お金の割り振り、お金の割り振りについては今までとかはどんな感じだったんですか？,3,
Cl20 ,今まではお金の管理を母に任せていたので、夏休み自分が体調悪いこともあって、食費だけで10万かかったんです。でこれをもっと抑えられないかな 、冷蔵庫に食材がないので訪問看護の人が作ってくれるレパートリーが少ないから子供達も食べなくて、余計にこうお惣菜買ったりということが多かったので、それをなんとか抑えられたら、ちょっとは生活見通し立つのかなと思います。,7,
Co21 ,Tさんとしてはお金の使い方を、振り分け方を考えると、後またお父さんがお金を湯水の様に使わない何かの方法があれば、今の仕事であとエアコン買ったりとか、そういう生活を維持するのも続けて行くことはできるかなと、そういう見通しをちょっと持っていて。,2,
Cl21 ,そうですね、でもやっぱりこの債務整理のこの返済を、もう少し額を抑えられたらなと思います。,7,
Co22 ,じゃあ債務整理の専門の方と色々もう一回お話をちょっとしてみようかなとか。,2,
Cl22 ,そうですね、ま、できる、話ししてどうなるかわからないんですけど、うまく行くんだったらしても良いかなー。,0,
Co23 ,じゃあーその辺の、少し専門家の方とのいろんな面談の調整とか少し進めていくというの、それいかがですか？,3,
Cl23 ,そうですね、お願いしてもいいですか。,7,
