sentence,miti_code,augmented,source
"わ,わかりません。私が言いたいのは,息子の周りでは吸わないように気をつけているという事です。車の中では吸いませんし,息子が家にいるときは外に吸いに行きます。とにかく私にたばこが悪いというのは分かっているし,息子にとっても悪いタバコだと分かっているからタバコの周りにいないでほしいと言っているし,本当に気をつけています。[SEP]エイデンのためにもあなたの健康のためにもタバコをやめたほうがいいと思います。子どもの周りでタバコを吸うことが影響するのは耳の感染症だけではないのは知っていましたか?[SEP]うん",4,True,case3.csv
"わ,わかりません。私が言いたいのは,息子の周りでは吸わないように気をつけているというのです。車の中では吸いませんし,息子が家にいるときは外に吸いに行きます。とにかく私にたばこが悪いという事は分かっているし,息子にとっても悪いものだと分かっているからタバコの周りにいないでほしいと言っているし,本当に気をつけています。[SEP]エイデンのためにもあなたの健康のためにもタバコをやめたほうがいいと思います。子どもの周りでタバコを吸うことが影響するのは耳の感染症だけではないのは知っていましたか?[SEP]うん",4,True,case3.csv
"わ,わかりません。私が言いたいのは,息子の周りでは吸わないように気をつけているというものです。車の中では吸いませんし,息子が家にいるときは外に吸いに行きます。とにかく私にたばこが悪いという気持ちは分かっているし,息子にとっても悪いのだと分かっているからタバコの周りにいないでほしいと言っているし,本当に気をつけています。[SEP]エイデンのためにもあなたの健康のためにもタバコをやめたほうがいいと思います。子どもの周りでタバコを吸うことが影響するのは耳の感染症だけではないのは知っていましたか?[SEP]うん",4,True,case3.csv
わ，わかりません。私が言いたいのは，息子の周りでは吸わないように気をつけているということです。車の中では吸いませんし，息子が家にいるときは外に吸いに行きます。とにかく私にたばこが悪いということは分かっているし，息子にとっても悪いことだと分かっているからタバコの周りにいないでほしいと言っているし，本当に気をつけています。[SEP]エイデンのためにもあなたの健康のためにもタバコをやめたほうがいいと思います。子どもの周りでタバコを吸うことが影響するのは耳の感染症だけではないのは知っていましたか？[SEP]うん,4,False,case3.csv
わかりました。とにかくわかりました。[SEP]息子さんが何度も中耳炎を繰り返しているのは、あなたにとっても息子さんにとっても大きなストレスですね。タバコの煙が子どもの耳感染のリスクファクターの一つであるのを考慮すると、あなたが喫煙している環境が関連している可能性があります。息子さんの周りで吸わないように気をつけているというあなたの努力は理解していますが、それでもタバコの影響は考慮に入れなければならないかもしれません。[SEP],6,True,case3.csv
わかりました。とにかくわかりました。[SEP]息子さんが何度も中耳炎を繰り返している事は、あなたにとっても息子さんにとっても大きなストレスですね。タバコの煙が子どもの耳感染のリスクファクターの一つであるかを考慮すると、あなたが喫煙している事が関連している可能性があります。息子さんの周りで吸わないように気をつけているというあなたの努力は理解していますが、それでもタバコの影響は考慮に入れなければならないかもしれません。[SEP],6,True,case3.csv
わかりました。とにかくわかりました。[SEP]息子さんが何度も中耳炎を繰り返している状況は、あなたにとっても息子さんにとっても大きなストレスですね。タバコの煙が子どもの耳感染のリスクファクターの一つである点を考慮すると、あなたが喫煙しているのが関連している可能性があります。息子さんの周りで吸わないように気をつけているというあなたの努力は理解していますが、それでもタバコの影響は考慮に入れなければならないかもしれません。[SEP],6,True,case3.csv
わかりました。とにかくわかりました。[SEP]息子さんが何度も中耳炎を繰り返していることは、あなたにとっても息子さんにとっても大きなストレスですね。タバコの煙が子どもの耳感染のリスクファクターの一つであることを考慮すると、あなたが喫煙していることが関連している可能性があります。息子さんの周りで吸わないように気をつけているというあなたの努力は理解していますが、それでもタバコの影響は考慮に入れなければならないかもしれません。[SEP],6,False,case3.csv
"ええ,その通りです。[SEP]以前やめたときはどうやってできたのですか?[SEP]わかりません,今考えてみてもどのようにしたかすら覚えてないんです。でも,とにかくやったんです。私,想像できなかったの。タバコを吸う女性の赤ちゃんが死産になるとか,早産になるとか,また,障害児として生まれてくるなんてことを。だからもう飽き飽きするほど言われたでしよ。ね,もう今は危険な状態じゃないんです。",3,True,case4.csv
"ええ,その通りです。[SEP]以前やめたときはどうやってできたのですか?[SEP]わかりません,今考えてみてもどのようにしたかすら覚えてたんです。でも,とにかくやったんです。私,想像できなかったの。煙草を吸う女性の赤ちゃんが死産になるとか,早産になるとか,また,障害児として生まれてくるなんて事を。だからもう飽き飽きするほど言われたでしよ。ね,もう今は危険な状態じゃないんです。",3,True,case4.csv
"ええ,その通りです。[SEP]以前やめたときはどうやってできたのですか?[SEP]わかりません,今考えてみてもどのようにしたかすら覚えているんです。でも,とにかくやったんです。私,想像できなかったの。たばこを吸う女性の赤ちゃんが死産になるとか,早産になるとか,また,障害児として生まれてくるなんてのを。だからもう飽き飽きするほど言われたでしよ。ね,もう今は危険な状態じゃないんです。",3,True,case4.csv
ええ，その通りです。[SEP]以前やめたときはどうやってできたのですか？[SEP]わかりません，今考えてみてもどのようにしたかすら覚えてないんです。でも，とにかくやったんです。私，想像できなかったの。タバコを吸う女性の赤ちゃんが死産になるとか，早産になるとか，また，障害児として生まれてくるなんてことを。だからもう飽き飽きするほど言われたでしよ。ね，もう今は危険な状態じゃないんです。,3,False,case4.csv
そうですね。[SEP]薬を飛ばしてしまう事があっても困るのはあるんですね。[SEP]実は、あんまり効果を感じてないんですよね。,2,True,case9.csv
そうですね。[SEP]薬を飛ばしてしまう恐れがあっても困る人は無いんですね。[SEP]実は、あんまり効果を感じてないんですよね。,2,True,case9.csv
そうですね。[SEP]薬を飛ばしてしまう薬があっても困る事は少ないんですね。[SEP]実は、あんまり効果を感じてないんですよね。,2,True,case9.csv
そうですね。[SEP]薬を飛ばしてしまうことがあっても困ることはないんですね。[SEP]実は、あんまり効果を感じてないんですよね。,2,False,case9.csv
そう、それが分かっているもんだから、余計だというか、、、スイッチが入った瞬間からというか、また食べ過ぎてしまうんやろな~みないな。[SEP]食べ過ぎなければやめられるのに!っと思う。[SEP]それをやめたら、メシがうまくなったっていう話を聞いて、「これ!」って思って。,1,True,case8!.csv
そう、それが分かっているもんだから、余計すぎるというか、、、スイッチが入った瞬間、というか、また食べ過ぎてしまうんやろな~みないな。[SEP]食べ過ぎなければやめられるのに!っと思う。[SEP]これをやめたら、メシがうまくなったっていう話を聞いて、「これ!」って思って。,1,True,case8!.csv
そう、それが分かっているもんだから、余計なというか、、、スイッチが入った瞬間にというか、また食べ過ぎてしまうんやろな~みないな。[SEP]食べ過ぎなければやめられるのに!っと思う。[SEP]酒をやめたら、メシがうまくなったっていう話を聞いて、「これ!」って思って。,1,True,case8!.csv
そう、それが分かっているもんだから、余計怖いというか、、、スイッチが入った瞬間怖いというか、また食べ過ぎてしまうんやろな～みないな。[SEP]食べ過ぎなければやめられるのに！っと思う。　[SEP]タバコをやめたら、メシがうまくなったっていう話を聞いて、「これ！」って思って。,1,False,case8!.csv
そうですね、お願いしてもいいですか。[SEP]今日の朝はどうかした?遅れて来てたみたいだったけど。[SEP]いや、それが、特に何があったというわけではないんですが、間に合わなくて。,3,True,case7.csv
そうですね、お願いしても良いですか。[SEP]今日の朝はどうかした?遅れて来てたみたいだったけど。[SEP]いや、それが、特に何があったということではあるんですが、間に合わなくて。,3,True,case7.csv
そうですね、お願いしてもよいですか。[SEP]今日の朝はどうかした?遅れて来てたみたいだったけど。[SEP]いや、それが、特に何があったという意味では無いんですが、間に合わなくて。,3,True,case7.csv
そうですね、お願いしてもいいですか。[SEP]今日の朝はどうかした？遅れて来てたみたいだったけど。[SEP]いや、それが、特に何があったというわけでは無いんですが、間に合わなくて。,3,False,case7.csv
そう。ちょうど入社の時のことになった。[SEP]この体重が仕事をやめることで維持できないじゃないかという怖さがある。[SEP]そう。怖さ。ここからマックス90kgまでいったから。,2,True,case8!.csv
そう。ちょうど入社の時のようになった。[SEP]この体が野球をやめることで維持できないじゃないかという怖さがある。[SEP]そう。怖さ。ここからマックス90kgまでいったから。,2,True,case8!.csv
そう。ちょうど入社の時の話になった。[SEP]この気持ちがラグビーをやめることで維持できないじゃないかという怖さがある。[SEP]そう。怖さ。ここからマックス90kgまでいったから。,2,True,case8!.csv
そう。ちょうど入社の時の体重になった。[SEP]この体重がタバコをやめることで維持できないじゃないかという怖さがある。　[SEP]そう。怖さ。ここからマックス90㎏までいったから。,2,False,case8!.csv
そう。ご飯を普通に200に抑えていたのに、おかわり!!って、言って。[SEP]じゃぁ、食べ過ぎている傾向にあって、それを経験しているがゆえに、やっぱこう、それをやめちゃうと、増えちゃうかなって。[SEP]そう。」っていう。,2,True,case8!.csv
